time,open,high,low,close,MA,Smoothing Line,Volume,Volume MA,ADX_14,DMP_14,DMN_14,RSI_14
2018-11-05T02:00:00Z,3.48727686,3.48727686,3.43599337,3.43599337,3.441691537777777,3.4625848088888858,190600,870980.0,,,,
2018-11-06T02:00:00Z,3.43599337,3.45308787,3.40180438,3.40180438,3.4397921488888885,3.4508086013333297,463500,842750.0,,,,
2018-11-07T02:00:00Z,3.45308787,3.47018236,3.40180438,3.45308787,3.435993372222222,3.4435909257777744,296100,776440.0,,,,
2018-11-08T02:00:00Z,3.45308787,3.47018236,3.43599337,3.43599337,3.432194595555555,3.439792149111108,142200,751735.0,,,,
2018-11-09T02:00:00Z,3.43599337,3.45308787,3.38470989,3.40180438,3.428395818888889,3.435613494666664,890600,771445.0,,,,
2018-11-12T02:00:00Z,3.41889888,3.41889888,3.33342641,3.33342641,3.4188988777777776,3.4310549626666638,1050500,774435.0,,,,
2018-11-13T02:00:00Z,3.3505209,3.3505209,3.31633191,3.33342641,3.4113013255555558,3.425356797999997,389300,759515.0,,,,
2018-11-14T02:00:00Z,3.33342641,3.3676154,3.31633191,3.33342641,3.401804384444445,3.4185190004444417,228900,694990.0,,,,
2018-11-15T02:00:00Z,3.33342641,3.3676154,3.31633191,3.31633191,3.382810501111111,3.4086421815555523,609700,665815.0,,,,
2018-11-16T02:00:00Z,3.26504843,3.33342641,3.26504843,3.29923742,3.3676153955555552,3.3964860968888866,485300,650985.0,,,,
2018-11-19T02:00:00Z,3.31633191,3.31633191,3.26504843,3.26504843,3.3524202899999995,3.383190379333331,394100,557885.0,,,,
2018-11-20T02:00:00Z,3.28214292,3.28214292,3.17957596,3.17957596,3.3220300777777774,3.365336129777775,1051200,584595.0,,,,
2018-11-21T02:00:00Z,3.16248146,3.17957596,3.14538697,3.16248146,3.291639865555556,3.343303225999997,441300,553735.0,,,,
2018-11-22T02:00:00Z,3.16248146,3.17957596,3.11119798,3.12829247,3.261249653333333,3.3189910564444416,613600,552225.0,,,,
2018-11-23T02:00:00Z,3.16248146,3.16248146,3.11119798,3.12829247,3.238456993333333,3.293159375999997,126500,534560.0,,3.225500615078501,44.6909744984614,8.226675759463744
2018-11-26T02:00:00Z,3.11119798,3.26504843,3.11119798,3.26504843,3.23085944,3.2688472059999976,527100,543275.0,,18.26406006813299,34.09709837848627,41.727603474489285
2018-11-27T02:00:00Z,3.28214292,3.41889888,3.28214292,3.38470989,3.236557604444444,3.2517527113333307,2710300,639570.0,,34.886378554360526,27.162904813502752,56.64191426084713
2018-11-28T02:00:00Z,3.38470989,3.40180438,3.3676154,3.38470989,3.2441551577777776,3.2422557697777754,359100,593900.0,,33.26729918603588,25.9022724237355,56.64191426084713
2018-11-29T02:00:00Z,3.38470989,3.38470989,3.31633191,3.31633191,3.246054545555555,3.23921674822222,328000,586755.0,,30.244093930422498,30.36408729255759,48.42770869866003
2018-11-30T02:00:00Z,3.31633191,3.31633191,3.21376495,3.23085944,3.242255768888888,3.239976503333331,4024800,766135.0,,26.372597240269293,39.27806587571081,40.51785026471988
2018-12-03T02:00:00Z,3.24795394,3.28214292,3.24795394,3.24795394,3.2498533222222217,3.2437752797777746,452800,779245.0,,24.672015062485713,36.74530134753416,42.5392891479585
